iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Bad Request","400","327","84","confirm that connection is kept alive, confirm User needs to enable crm",,,"2","2","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Bad Request","400","219","43","Confirm this is a bad request","confirm User needs to enable crm",,"2","1","1","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Bad Request","400","156","128","Confirm this is a bad request, confirm User needs to enable crm, Response status code is 400, Content-Type is application/json, Message field is a non-empty string",,,"5","5","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/:id","Bad Request","400","118","31","Confirm user cannot link a company with a wrong ID, Confirm this is a bad request, Response status code is 400, Content type is application/json, Message field is present in the response, Message field is a non-empty string, Response message indicates the reason for the bad request",,,"7","7","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/","Not Found","404","117","19",,"Response content type is application/json, Response status code is 400",,"2","0","2","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/234567","Bad Request","400","105","32","Response status code is 400, Response has the required content type - application/json, Message is a non-empty string, Validate that the 'id' parameter is present in the request URL, Verify that the response message provides useful information for the client to fix the issue",,,"5","5","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/37570","Bad Request","400","106","84","Response status code is 400, Response has content type application/json, Schema is valid",,,"3","3","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Bad Request","400","128","84","Response status code is 400, Response has the required field - message, Verify the Content-Type is application/json",,,"3","3","0","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?offset=13396752&limit=13396752&sort=desc","Bad Request","400","148","189","Response status code is 400, Response has content type application/json",,,"2","2","0","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Internal Server Error","500","109","84","Response status code is 500, Response has the required field 'message', Content-Type header is application/json, Response status code is 500, Response has the required field 'message', Content-Type header is application/json, Schema is valid",,,"7","7","0","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/:id","Bad Request","400","101","45","Response status code is 400, Response has the required field 'message', Message is a non-empty string, Content-Type is application/json",,,"4","4","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","Internal Server Error","500","710","135","Response status code is 500, Response has the required fields - type, title, status, and detail, Response content type is application/json",,,"3","3","0","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/","Bad Request","400","142","189","Response status code is 400, Response has a valid Content-Type header",,,"2","2","0","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/885","Bad Request","400","101","46","Response status code is 400, Content-Type is application/json, Message field is present in the response, Message field is not empty, Response message is descriptive and provides helpful information for the client",,,"5","5","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/885","Bad Request","400","113","46","Response status code is 400, Response has the required field 'message', Message is a non-empty string, Content-Type is application/json",,,"4","4","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks?limit=50&sort=desc&sortBy=name","OK","200","538","211","Response status code is 200, Response has the required fields - items, pager, Items array in the response should exist and be an array, Pager object should exist in the response",,,"4","4","0","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Not Found","404","569","42","Response status code is 404, Response has the required fields - message and data",,,"2","2","0","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","OK","200","912","485","Response status code is 200, Response Content-Type is application/json, Validate the structure of the response array, Each object in the array has the required fields - id and title",,,"4","4","0","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/885","Bad Request","400","671","53","Response status code is 400, Content-Type is present",,,"2","2","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/885","Bad Request","400","814","53","Response status code is 400, Content-Type is present",,,"2","2","0","0"
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Bad Request","400","380","53",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes?entity=deals&entityIds=61a5cd07ca1347c82306ad09&limit=50&sort=desc","OK","200","160","3","Response status code is 200, Response Content-Type is application/json",,,"2","2","0","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Bad Request","400","153","90","Response status code is 400, Response has the required fields - message and data",,,"2","2","0","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/61a5cd07ca1347c82306ad09","Not Found","404","149","38","Response status code is 404, Status code name has Not Found",,,"2","2","0","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/veniam elit in","Bad Request","400","107","100","Response status code is 400, Response has the required fields, Message is a non-empty string",,,"3","3","0","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/885","Bad Request","400","108","46","Response status code is 400, Response has a message field, Message field is not empty, Content-Type is application/json, Response body does not contain sensitive information",,,"5","5","0","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files?entity=deals&entityIds=","OK","200","168","1899","Response status code is 200, Response Content-Type is application/json, Response body is an array","Size and contactId should be non-negative integers",,"4","3","1","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Bad Request","400","112","26","Response Content-Type is application/json","Response status code is 200, ContactId is a non-negative integer, Size is a non-negative integer",,"4","1","3","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/null","Bad Request","400","110","81","Content-Type is present","Response status code is 200",,"2","1","1","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/null","Bad Request","400","114","212",,"Status code is No Content, Confirm there is nothing in the response body",,"2","0","2","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files/null/data","Bad Request","400","109","152","Response content type is application/json","Response status code is 200, Author object should exist and be an object, CompanyIds and DealsIds arrays are present and not empty, Verify the contactId is a non-empty string or a number",,"5","1","4","0"
"1","Sendinblue","Get an email campaign report","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752","Not Found","404","182","65","Response status code is 404, Content-Type header is application/json","Validate the statistics object - globalStats should have all the required fields",,"3","2","1","0"
"1","Sendinblue","Update an email campaign","PUT","https://api.sendinblue.com/v3/emailCampaigns/13396752","Bad Request","400","86","114","Response status code is 400, Response has the required fields - code and message, Code is a non-empty string, Message is a non-empty string",,,"4","4","0","0"
"1","Sendinblue","Delete an email campaign","DELETE","https://api.sendinblue.com/v3/emailCampaigns/13396752","Not Found","404","85","63","Response status code is 404, Response has the required fields - code and message, Code is a non-empty string, Message is a non-empty string, Content-Type header is application/json",,,"5","5","0","0"
"1","Sendinblue","Send an email campaign immediately, based on campaignId","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendNow","Not Found","404","97","63","Response status code is 404, Code and message fields must exist in the response, Content-Type header is application/json, Code is a non-empty string, Message is a non-empty string",,,"5","5","0","0"
"1","Sendinblue","Send an email campaign to your test list","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendTest","Not Found","404","99","77","Response status code is 404, Response has the required fields - code and message, Code is a non-empty string, Message is a non-empty string, Content-Type header is application/json",,,"5","5","0","0"
"1","Sendinblue","Update an email campaign status","PUT","https://api.sendinblue.com/v3/emailCampaigns/13396752/status","Not Found","404","85","63","Response status code is 404, Response has the required fields - code and message, Code is a non-empty string, Message is a non-empty string, Content-Type header is application/json",,,"5","5","0","0"
"1","Sendinblue","Send the report of a campaign","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendReport","Not Found","404","99","68","Response status code is 404, Code and message fields exist in the response, Content-Type header is application/json, Message is a non-empty string, Verify that the PDF is not sent when the status code is 404",,,"5","5","0","0"
"1","Sendinblue","Get an A/B test email campaign results","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752/abTestCampaignResult","Not Found","404","93","63","Response status code is 404, Response Content-Type is application/json, Response time is less than 200ms","Response includes the required fields",,"4","3","1","0"
"1","Sendinblue","Get a shared template url","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752/sharedUrl","Not Found","404","99","63","Response status code is 404","Response has the required fields, Code and message should be empty strings, Shared URL is a non-empty string, SharedUrl is a valid URL format",,"5","1","4","0"
"1","Sendinblue","Export the recipients of an email campaign","POST","https://api.sendinblue.com/v3/emailCampaigns/52028961/exportRecipients","Not Found","404","82","68","Response status code is 404, Content-Type header is application/json, Response has the required fields - code and message","ProcessId is present in the response, ProcessId is a non-negative integer",,"5","3","2","0"
